NIT_;Año_;Precio_final_Escen;Precio_index;Escenario;DIVISA;FECHA;Producto_FK
2475546K;2016;9.8;13.118208622;Guatecompras;Q;9/07/2016;5
5506433;2016;6.85;9.169360108;Guatecompras;Q;9/07/2016;5
19554648;2016;9.15;12.225715877;Guatecompras;Q;9/08/2016;3
19554648;2016;9.5;12.693366211;Guatecompras;Q;9/08/2016;5
19554648;2016;9.15;12.225715877;Guatecompras;Q;9/08/2016;7
4123670;2016;12;16.033725740;Guatecompras;Q;9/08/2016;7
41274989;2016;4.5;6.012647152;Guatecompras;Q;9/08/2016;103
61458228;2016;6.25;8.350898823;Guatecompras;Q;9/08/2016;103
4123670;2016;8;10.689150493;Guatecompras;Q;9/08/2016;103
41274989;2016;4.3;5.745418390;Guatecompras;Q;9/08/2016;102
19554648;2016;6.7;8.952163538;Guatecompras;Q;9/08/2016;102
41274989;2016;6.2;8.301259366;Guatecompras;Q;19/09/2016;11
19554648;2016;8.8;11.782432648;Guatecompras;Q;19/09/2016;11
41274989;2017;5.48;7.220412581;Guatecompras;Q;13/01/2017;2
4556984;2017;14.47;19.065578477;Guatecompras;Q;13/01/2017;2
61458228;2017;9.65;12.714777630;Guatecompras;Q;13/01/2017;2
19554648;2017;12;15.811122441;Guatecompras;Q;13/01/2017;2
47912677;2017;11.91;15.692539023;Guatecompras;Q;13/01/2017;2
2475546K;2017;9.94;13.096879755;Guatecompras;Q;13/01/2017;2
41274989;2017;5.55;7.312644129;Guatecompras;Q;18/01/2017;2
61458228;2017;9.9;13.044176014;Guatecompras;Q;18/01/2017;2
47912677;2017;13.52;17.813864617;Guatecompras;Q;18/01/2017;2
19554648;2017;7.2;9.486673465;Guatecompras;Q;20/01/2017;103
4123670;2017;7;9.223154757;Guatecompras;Q;20/01/2017;103
19554648;2017;8.95;11.792462154;Guatecompras;Q;23/01/2017;5
61458228;2017;11.4;15.020566319;Guatecompras;Q;23/01/2017;7
19554648;2017;12;15.811122441;Guatecompras;Q;23/01/2017;7
47912677;2017;11.23;14.796575418;Guatecompras;Q;23/01/2017;7
4556984;2017;28;36.892619029;Guatecompras;Q;23/01/2017;9
19554648;2017;9.15;12.055980861;Guatecompras;Q;25/01/2017;5
4123670;2017;11;14.493528904;Guatecompras;Q;25/01/2017;5
2475546K;2017;13.9;18.314550161;Guatecompras;Q;25/01/2017;50
47912677;2017;9.99;13.162759432;Guatecompras;Q;25/01/2017;50
4123670;2017;13;17.128715978;Guatecompras;Q;25/01/2017;50
19554648;2017;9.5;12.517138599;Guatecompras;Q;25/01/2017;50
41274989;2017;8.68;11.436711899;Guatecompras;Q;25/01/2017;50
41274989;2017;5.6;7.378523806;Guatecompras;Q;25/01/2017;7
19554648;2017;7.98;10.514396423;Guatecompras;Q;25/01/2017;7
47912677;2017;10.92;14.388121421;Guatecompras;Q;25/01/2017;7
61458228;2017;9.75;12.846536983;Guatecompras;Q;25/01/2017;7
19554648;2017;7.5;9.881951526;Guatecompras;Q;25/01/2017;98
41274989;2017;6;7.905561220;Guatecompras;Q;25/01/2017;98
61458228;2017;8.25;10.870146678;Guatecompras;Q;25/01/2017;98
19554648;2017;7.5;9.881951526;Guatecompras;Q;25/01/2017;100
41274989;2017;6;7.905561220;Guatecompras;Q;25/01/2017;100
61458228;2017;6.9;9.091395404;Guatecompras;Q;25/01/2017;100
47912677;2017;7.33;9.657960624;Guatecompras;Q;25/01/2017;103
47912677;2017;13.96;18.393605773;Guatecompras;Q;2/01/2017;14
4123670;2017;8;10.540748294;Guatecompras;Q;2/01/2017;102
19554648;2017;7.5;9.881951526;Guatecompras;Q;2/01/2017;102
61458228;2017;7;9.223154757;Guatecompras;Q;2/01/2017;102
47912677;2017;8.2;10.589959253;Guatecompras;Q;2/06/2017;99
61458228;2017;12;15.266282945;Guatecompras;Q;2/07/2017;7
47912677;2017;8.09;10.292019085;Guatecompras;Q;2/07/2017;7
41274989;2017;7.8;9.923083914;Guatecompras;Q;2/07/2017;7
19554648;2018;9.15;11.223198248;Guatecompras;Q;8/11/2018;2
4123670;2018;5;6.172104644;Guatecompras;Q;27/08/2018;100
19554648;2018;7;8.640946502;Guatecompras;Q;27/08/2018;100
41274989;2018;4.5;5.554894180;Guatecompras;Q;27/08/2018;100
4123670;2018;6;7.406525573;Guatecompras;Q;27/08/2018;102
41274989;2018;4.5;5.554894180;Guatecompras;Q;27/08/2018;102
19554648;2018;9.15;11.294951499;Guatecompras;Q;27/08/2018;11
47912677;2018;8.9;10.986346267;Guatecompras;Q;27/08/2018;11
41274989;2018;6.5;8.023736038;Guatecompras;Q;27/08/2018;11
19554648;2018;9.15;11.294951499;Guatecompras;Q;28/08/2018;5
64186059;2018;5.85;7.221362434;Guatecompras;Q;28/08/2018;5
41274989;2018;5.6;6.912757202;Guatecompras;Q;28/08/2018;5
19554648;2018;9.15;11.294951499;Guatecompras;Q;31/08/2018;11
47912677;2018;11.46;14.419856180;Guatecompras;Q;9/01/2018;2
4556984;2018;30;36.690207499;Guatecompras;Q;29/10/2018;5
19554648;2018;9.15;11.536568340;Guatecompras;Q;11/02/2018;5
47912677;2018;6.6;8.071845650;Guatecompras;Q;31/10/2018;103
19554648;2018;9.15;11.223198248;Guatecompras;Q;13/11/2018;5
41274989;2018;4.5;5.519605696;Guatecompras;Q;21/11/2018;102
47912677;2018;6;7.359474261;Guatecompras;Q;21/11/2018;102
64186059;2018;5.95;7.298145309;Guatecompras;Q;22/11/2018;3
96979887;2019;9.15;11.059267521;Guatecompras;Q;4/01/2019;9
47912677;2019;8.54;10.307891068;Guatecompras;Q;4/02/2019;5
47912677;2019;6.4;7.627328840;Guatecompras;Q;5/11/2019;100
47912677;2019;10.85;12.987835816;Guatecompras;Q;5/10/2019;2
96979887;2019;7.5;8.978406499;Guatecompras;Q;14/05/2019;102
47912677;2019;8.95;10.714231756;Guatecompras;Q;16/05/2019;2
41274989;2019;5.6;6.703876853;Guatecompras;Q;16/05/2019;2
64186059;2019;5.65;6.763732896;Guatecompras;Q;16/05/2019;2
96979887;2019;9;10.774087799;Guatecompras;Q;16/05/2019;2
64186059;2019;5.59;6.691905644;Guatecompras;Q;20/05/2019;11
5506433;2016;7.35;9.820657016;Guatecompras;Q;22/08/2016;2
4556984;2016;9.375;12.526348234;Guatecompras;Q;22/08/2016;103
19554648;2016;9.15;12.225715877;Guatecompras;Q;24/08/2016;10
